Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Benin,-0.255666667,-0.155333333,0.188416667,-0.177583333,-0.156416667,0.079083333,-0.17125,-0.054666667,0.287666667,0.23325,-0.23575,0.060416667,0.564833333,-0.108333333,-0.232416667,-0.2265,0.308916667,0.0205,0.405416667,0.377333333,0.34425,0.14525,0.637416667,0.457916667,0.416166667,0.370416667,1.143666667,0.618,0.05525,0.758416667,0.23025,0.102,0.602166667,0.3905,0.61175,0.764916667,0.613583333,1.108916667,0.63975,0.5595,0.753583333,0.758166667,1.029333333,0.901083333,1.2085,1.026166667,1.015083333,0.75375,1.07125,1.273,1.04975,0.788833333,0.966083333,1.081083333,1.156333333,1.39975,1.223,1.137916667,1.276583333
Bhutan,-0.025833333,-0.118,-0.205083333,0.05625,-0.542166667,0.189166667,-0.41,-0.4825,0.180416667,-0.041833333,-0.238833333,0.005833333,0.29225,0.11675,0.14175,0.04225,-0.085666667,-0.155666667,0.294416667,0.183083333,0.015083333,-0.043583333,-0.291416667,0.132416667,0.267166667,-0.065333333,0.319416667,0.585666667,0.051666667,0.041083333,-0.04125,-0.281333333,-0.157833333,0.163666667,0.489083333,0.122833333,-0.42375,0.822833333,1.02525,0.199083333,0.706,0.514666667,0.521333333,0.563416667,0.747583333,1.174333333,1.050833333,0.753,1.411,1.315,0.689833333,0.392833333,0.833166667,1.104166667,1.117333333,1.675416667,1.536666667,1.427416667,1.45825
Bolivia,0.235583333,-0.01675,0.52475,-0.212666667,0.292083333,0.018583333,0.416916667,0.08825,0.624333333,0.342,-0.4685,0.229916667,0.2135,-0.22475,-0.054916667,-0.132333333,0.266833333,0.31725,0.1995,0.2315,0.1545,0.269166667,0.45,0.208083333,0.489416667,0.466083333,0.773666667,0.3035,0.129583333,0.2805,0.6315,-0.017666667,0.424583333,0.830916667,0.6225,0.246416667,0.976,0.779416667,0.288333333,0.304916667,0.601083333,0.933333333,0.641166667,0.828583333,0.7415,0.905333333,0.449583333,0.445416667,0.7445,0.75375,1.0995,0.879666667,0.641416667,1.008333333,1.62725,0.711333333,0.991166667,0.561666667,1.01375
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885333333,0.466333333,1.63025,0.328833333,-0.166083333,0.3055,0.716416667,0.917583333,1.722416667,1.004916667,1.5235,1.110166667,0.686166667,0.020166667,0.780583333,1.67,1.63575,1.4265,0.86625,1.334583333,1.607083333,1.519416667,1.913666667,1.841333333,1.55675,1.54175,2.256166667,2.223583333
Botswana,0.11025,0.204166667,-0.489583333,-0.059666667,0.289916667,0.355,-0.489166667,-0.144583333,0.107666667,0.670416667,-0.093166667,-0.232583333,0.295333333,-0.659416667,-0.212416667,-0.697083333,0.181583333,-0.103083333,0.4575,-0.01425,-0.431083333,0.399333333,0.97725,0.485916667,0.267583333,0.313,1.076833333,0.080166667,-0.118583333,0.804333333,0.057583333,1.12425,0.65275,0.133333333,1.096333333,-0.028,0.225416667,0.907916667,0.76475,-0.398333333,0.018,0.629666667,1.041416667,0.090833333,1.204,-0.083333333,0.34025,0.731916667,0.125333333,1.152416667,0.316083333,0.831666667,0.989583333,0.256916667,2.029833333,1.4125,0.202666667,0.824166667,1.748333333
Brazil,0.150583333,-0.175166667,0.161416667,-0.283083333,-0.006666667,0.029583333,0.051916667,-0.375,0.355916667,0.1645,-0.217166667,0.109583333,0.385833333,-0.238,-0.096666667,-0.16875,0.234833333,-0.006083333,0.037416667,0.2845,0.190166667,0.278166667,0.468166667,0.297666667,0.121833333,0.335916667,0.746166667,0.433666667,0.153333333,0.510666667,0.487083333,0.376,0.557833333,0.654916667,0.794083333,0.55025,0.776333333,1.257,0.557166667,0.556916667,0.786916667,1.15,1.01325,0.8355,1.15475,0.935666667,1.0405,0.77725,1.050166667,1.181166667,0.8325,1.181833333,1.025583333,1.291333333,1.775,1.545416667,1.48925,1.266833333,1.717416667
British Virgin Islands,0.110666667,0.081583333,0.278083333,0.086833333,-0.247583333,-0.051583333,-0.3035,-0.160083333,0.295083333,0.0015,-0.340416667,-0.17,-0.076583333,-0.408833333,-0.442083333,-0.42175,-0.014166667,0.004,-0.174583333,0.63025,0.378916667,-0.14175,0.418333333,-0.092666667,-0.179666667,-0.084916667,0.48375,0.229916667,-0.077333333,0.257833333,0.2035,0.087166667,0.273,0.411,0.44625,0.083666667,0.481083333,0.887833333,0.2785,0.079,0.445416667,0.665916667,0.613,0.309916667,0.547083333,0.59675,0.697083333,0.1745,0.577916667,0.738083333,0.30375,0.523,0.601083333,0.673,0.961666667,0.933416667,0.764916667,0.577416667,0.918833333
Brunei Darussalam,0.1235,-0.092416667,-0.18775,-0.122416667,-0.289583333,0.117583333,-0.216583333,-0.166166667,0.152,0.003,-0.253916667,0.119166667,0.341166667,-0.250916667,0.016083333,-0.0425,0.022833333,0.132083333,0.197833333,0.243666667,0.116833333,0.224,0.48975,-0.053416667,0.095083333,0.131833333,0.518916667,0.450083333,0.214416667,0.543833333,0.376083333,0.307,0.206833333,0.399916667,0.365416667,0.2915,0.730416667,1.255916667,0.514333333,0.464333333,0.517333333,0.785583333,0.698666667,0.59475,0.847916667,0.600416667,0.499583333,0.435666667,0.81275,0.817333333,0.53925,0.73575,0.833333333,0.753166667,1.071166667,1.4595,1.023916667,0.998416667,1.242583333
Bulgaria,0.44825,0.294666667,-0.102833333,-0.36325,-0.387666667,0.999,-0.009583333,0.31325,-0.370333333,0.2365,-0.120916667,0.0005,-0.429166667,-0.099083333,0.307916667,-0.805,0.337416667,-0.417416667,0.262666667,-0.59825,0.07375,-0.036416667,0.154333333,-0.054,-0.310333333,0.04375,-0.327583333,0.078,0.4275,0.867666667,-0.510916667,0.296083333,-0.01,1.439,0.21825,-0.289666667,-0.372583333,0.463416667,1.145583333,1.200416667,1.049,1.06875,0.31575,0.634,0.124,0.519416667,1.64925,1.378083333,1.253083333,1.2145,0.43125,1.42575,1.48875,1.341416667,1.4965,1.5375,1.317083333,1.921333333,2.360416667
Burkina Faso,-0.408166667,-0.197916667,0.14825,-0.167333333,-0.307583333,-0.006416667,-0.222333333,-0.076416667,0.519333333,0.242583333,0.018666667,0.16075,0.613,-0.172583333,-0.210833333,-0.350166667,0.203916667,0.311,0.310333333,0.781333333,0.397166667,0.09675,0.794666667,0.649583333,0.42725,0.33725,1.147333333,0.45725,0.1075,0.7095,0.359166667,0.0395,0.709,0.177333333,0.567083333,0.838916667,0.571666667,1.00375,0.442916667,0.546,0.646083333,0.931583333,0.906166667,1.027583333,1.349083333,0.96875,0.901333333,0.3295,0.970166667,1.15675,0.899416667,0.568583333,0.779416667,0.904,0.9905,1.327416667,1.125333333,1.11125,1.1275
